id;name;description;bonus;neutral;punishment
1;Adopcja;Sim ma zaadoptować dziecko w wybranym lub wylosowanym wieku;Sim nie może mieć dzieci w inny sposób, cecha rodzinny;Cecha nie cierpi dzieci, pełna rodzina, nieangażujący się;
2;Dawny znajomy;Sim traci przyjaźń z simem o najmniejszej relacji przyjacielskiej;Cecha samotnik, niezręczny towarzysko;Sim nie ma przyjaciół;
3;Prosty człowiek;Sim nie jest bardzo ambitny, więc zatrudnia się w słabo płatnej pracy np. Sklepie;Cecha leniwy;Cecha ambitny;
4;Nowe święto;Burmistrz tworzy nowe narodowe święto;;;
5;Nowe plany i pragnienia;Sim zmienia aspirację;Wypełnienie wcześniej chociaż jednej aspiracji;;
6;Terapia;Sim jeśli ma wystarczająco punktów aspiracji zmienia 1 cechę,;;Sim nie ma wystarczająco puntktów na zmianę cech;
7;Więzienie/Psychiatryk;W zależności od złej cechy sima dostaje on odpowiednią karę/opiekę;;;
8;Zew natury;Twoja rodzina jedzie do lasu lub przeprowadza się do lasu;Cechy i aspiracje związane z podróżami i style życia;Cecha leniwy, style życia związane z siedzeniem w domu;
9;Nabór do wojska;Jeden sim z twojej rodziny zaciąga się do wojska;Sim jest mężczyzną;Sim jest jedynym żywicielem rodziny;
10;Leniwy dzień;Tego dnia twoi simowie nie idą do szkoły/pracy;;Dziecko jest na granicy odesłania do adopcji;
11;Rodzic odchodzi;Jeden z rodziców po prostu nie może sobie poradzić z wychowaniem, a jego partner/ka jest do kitu (jest to inne od rozwodu, bo musisz także zmniejszyć relację z dziećmi);Odchodzący rodzic ma cechę nie cierpi dzieci lub niski poziom umiejętności wychowawczych;Obydwoje rodziców mają wysoki poziom umiejętności wychowawczych;
12;Rozwód;Czasem (w sumie statystyka pokazuje że nie tak rzadko) małżonkowie nie potrafili się dobrze dobrać, albo stare zadry teraz są nie do naprawienia, więc jeden odchodzi, nie zmienia to relacji z dziećmi na początku;Aspiracja Nieuleczalny romantyk;"Wypełniona aspiracja pokrewna dusza; brak związku małżeńskiego";
13;Słodki maluch;Małe dziecko je tylko słodycze;"Styl życia ""Fan śmieciowego żarcia"", rodzic ma cechę żarłok";"Styl życia ""Fan zdrowego jedzenia"", rodzic ma cechę smakosz";
14;Zdrowotny maluch;Małe dziecko je tylko warzywa i owoce lub warzywne potrawy z lodówki jak groszek – bonus jeśli rodzic ma styl życia fan zdrowego żywienia;"Styl życia ""Fan zdrowego jedzenia""";"Styl życia ""Fan śmieciowego jedzenia"", rodzic ma cechę smakosz";
15;Kolorowe kredki (i farbki) w pudełeczku, a teraz już poza;Dziecko po prostu nie może powstrzymać się od wylewania farby na ziemię, jeśli rodzic ma 0-1 poziom rodzicielstwa zignoruje to, 2-3 skrzyczy, 4-5-kupi zestaw do rysunku 6+ poinstruuje i kupi zestaw do rysunku;;;
16;Wampirze kiełki;Małe dziecko nie może powstrzymać się od gryzienia pluszaka – poziom wychowawczy 0-1 zignoruje, 2-3 skrzyczy, 4+ poinstruuje;Dziecko rzeczywiście jest wampirem;Brak pluszaków w domu;
17;Lalki są już nudne!;Małe dziecko lub dziecko błaga rodziców o nową zabawkę;Rodzic na cechę infantylny;Rodzic ma cechę snob lub nie cierpi dzieci;
18;Uuu..Glina;Pamiętacie tę przeklętą glinę? Dziecko twojego sima się od niej właśnie uzależniło;Rodzic lub dziecko ma cechę kreatywny lub twórca;;
19;Zajęty rodzic;Jeden rodzic lub obydwoje nie mają dużo czasu na malucha i to musi samo uczyć się umiejętności przez 2 dni/kilka dni;Rodzic ma wymagającą pracę lub dziecko ma cechę niezależny;Małe dziecko ma cechę przylepa;
20;"""Ale ja się boję ciemności""";Kupujesz małemu dziecku lampkę nocną, gdy ma cechę ciekawy świata, niezależny,aniołek lub małe dziecko śpi z rodzicami (przez wstawienie łóżeczka do pokoju rodziców lub 1 łóżka do pokoju dziecka) gdy ma cechę przylepa i rozrabiaka wtedy dostaje się bonus , a przy reszcie cech można wybrać ale już bez bonusu;jak w opisie;;
21;Technologia dla każdego;Cała rodzina kupuje, dla każdego jej członka, tablet;Rodzic ma styl życia związany z technologią;"Rodzic ma styl życia ""Technofob""";
22;Fajowe naklejeczki;Naklej naklejki w pokoju dziecka sima;Rodzic jest infantylny;;
23;"""Ja chcę jeszcze raz!""";Twój sim spędza cały dzień z dzieckiem na placu zabaw;"Rodzic ma cechę aktywny, uwielbia naturę lub styl życia ""wychodzący na dwór"" dziecko ma aspirację Łobuziak lub wysoki poziom zdolności motorycznych (może być też nagroda od małego dziecka za poruszanie się)";"Rodzic ma styl życia ""Domator"", lub ""mało energiczny""";
24;Nikt nie zauważył;Małe dziecko wybiera się na samotną wycieczkę po okolicy – 20% na zgubienie się dziecka (znajduje je inna rodzina lub porywa);Rodzice mają wymagającą pracę, niania nie podołała swojemu zadaniu,małe dziecko ma cechę ciekawy świata lub niezależny;;
25;Od przedszkola do Opola;Małe dziecko uczy się wyobraźni poprzez słuchanie muzyki – jeśli masz na to ochotę możesz wykorzystać to jako pretekst do szkolenia dziecka w muzyce;Rodzic z cechą Wirtuoz lub Mistrz Parkietu;;
26;Osamotnione dziecko;Małe dziecko uczy się komunikacji poprzez oglądanie filmików na tablecie;Rodzic ma cechę Samotnik, Leniwy, Zapaleniec lub ma wymagającą pracę;Rodzic z cechą Rodzinny lub aspiracją rodzinną;
27;Faza na KOLOR;Dowolny sim, (ale przedewszystkim dzieci) dostaje fioła na punkcie jednego wybranego koloru – każde ubranie ma być w tym kolorze i pokój ma być przemalowany;Dla każdego dziecka, cecha infantylny;;
28;Przeprowadzka na następną ulicę;Sim przeprowadza się w obrębie tego samego miasta;;;
29;Przeprowadzka kawałek stąd;Sim przeprowadza się do nowego miasta, osłabiają się relacje z przyjaciółmi z tego miasta;;;
30;Straszna pani;Dziecko boi się dowolnego sima i zaczyna go unikać;"Jeśli postać której boi się dziecko jest wampirem,duchem; ma cechę zły lub cechę nie cierpi dzieci";Nie ma kogo się bać;
31;Cień nie taki straszny (chyba);Dziecko boi się jakiegoś przedmiotu, 4+ wychowawcze uspakaja dziecko, 2-3 usuwa przedmiot z widoku, 0-1 ignoruje wtedy dziecko musi unikać tego przedmiotu (tego pokoju w którym jest ten przedmiot);;;
32;Małe kocie;Adoptujesz kocie;Jeśli w rodzinie są dzieci, jeśli sim ma cechę Miłośnik Kotów;Pełna rodzina lub brak pieniędzy;
33;Małe szczenie;Adoptujesz szczenie;Jeśli w rodzinie są dzieci, jeśli sim ma cechę Miłośnik Psów;Pełna rodzina lub brak pieniędzy;
34;Pierwszy zwierzak;Kupujesz klatkę z gryzoniem czy tam innym;To jest pierwszy zwierzak sima;Kto ma ten dodatek?;
35;Niewytrzymuję!!!!;Rodzic jest wściekły i niszczy domek dla lalek dziecka;Dziecko niedawno źle się zachowało, rodzic rzeczywiście jest wściekły, ma cechę nie cierpi dzieci;Rodzic ma cechę rodzinny lub infantylny lub nie ma domku dla lalek lub rodzic jest pogodny, szczęśliwy lub pewny siebie;
36;Kupię Ci nowe;Rodzic przez przypadek niszczy domek dla lalek;Rodzic ma cechę niezdarny;Rodzic zrobił to celowo np. Przez to że był wściekły;
37;Nie leżało 5 sekund;Jesz jedzenie pozostawione na zewnątrz przez innych simów lub ze śmietnika;"Cecha żarłok, freeganin, styl życia ""fan śmieciowego żarcia""";Cecha smakosz lub wrażliwy;
38;Och moje ulubione;Dowolny sim ma teraz ulubione jedzenie i przez 2 dni nie chce jeść niczego innego;;;
39;Dobry czas na granie;W sumie dowolny sim od dziecka w góre, nie idzie spać i całą noc gra w grę na komputerze lub konsoli;Cecha zapaleniec, styl życia guru technologii;"Styl życia ""Technofob""";
40;Tylko skończę rozdział;Sim czyta książkę dopóki jej nie skończy;Cecha mól książkowy lub przebywanie w bibliotece;"Styl życia ""Guru Technologii""";
41;Kołysanka usypianka;Sim śpiewa przy dzieciach;Sim potrafi śpiewać;Sim nie potrafi śpiewać (0-4 poziom);
42;Bajka na dobranoc;Sim czyta małemu dziecku książkę na dobranoc przez 2 dni;Rodzic ma cechę mól książkowy;Rodzic ma cechę leniwyl lub styl życia guru technologii;
43;Ciepła woda;Małe dziecko bierze kąpiel co chwila lub bawi się w baseniku przez 2 dni;Rodzic ma cechę dziecie oceanu, lub dziecko albo rodzic jest syreną;Jest zima;
44;Przyjaciele od najmłodszych lat;Rodzic szuka rodziny, która ma małe dzieci i odwiedza je ze swoim małym dzieckiem, te mają się w miarę poznać,;Małe dziecko ma cechę rezolutny;Małe dziecko ma cechę niezależny;
45;Oni się tobą lepiej zajmą;Rodzice oddają swoje dzieci innej rodzinie;Zaniedbanie dzieci,Rodzic z cechą nie cierpi dzieci;Wypełniona aspiracja rodzinna;
46;Ty teraz jesteś moim oczkiem w głowie;Rodzic bierze wolne lub zwalnia się, by pomóc małemu dziecku/dziecku rozwinąć umiejętności;Rodzic ma cechę rodzinny;Rodzic ma cechę Nie cierpi dzieci, lub styl życia pracoholik;
47;Zaniedbany bachor;Rodzic w ogóle nie interesuje się co robi dziecko(może tylko podać jedzenie ale nie w siedzisku) dziecko ma nie uczyć się żadnych umiejętności i dostać minusowe skłonności;Rodzic ma cechę Nie cierpi dzieci;Małe dziecko ma cechę niezależny, rodzic ma cechę rodzinny lub aspirację rodzinną;
48;Mąka i czekolada;Dziecko nie może powstrzymać się od rozrzucania mąki i czekolady;;;
49;Godzina policyjna;Ustal dzieciom godzinę chodzenia spać;;;
50;Jakie podobne do mamusi/tatusia;Dziecko ma wyglądać bardzo podobnie ze stroju i fryzury do rodzica, może mieć podobny chód;Rodzic ma cechę Zadufany w sobie;Dziecko jest adopcyjne;
51;Sąsiedzi z piekła rodem;Bądź złośliwy dla sąsiada przez 2 dni;Cecha wredny lub zły, wysoki poziom złośliwości;Cecha dobry;
52;Randka w ciemno;Mody lub utworzenie klubu tylko dla singli, pójdź z losowym simem na randkę;Styl życia głodny miłości;Styl życia Szczęśliwy singiel, stały związek;
53;To na koszt firmy;Rodzina wybiera się do restauracji, gdzie serwują w ramach promocji nowe danie za darmo! Wybierz jedno danie dla wszystkich, a potem dodaj sobie kodem wydane pieniądze;Cecha u kogoś smakosz, żarłok lub wysoki poziom gotowania, pieczenia, wykwitnej kuchni itp;;
54;Programiści w piwnicy;Dowolny sim z cechami w bonusie tworzy klub który zrzesza miłośników techniki (można zbudować piwnicę i zrobić by wyglądali jak stereotypowi programiści z piwnicy z lat 90);"Chociaż jedno z tych jest wymagane: cecha zapaleniec, cecha ambitny; styl życia guru techniki; wysoki poziom (5+) granie w gry, programowanie, majsterkowanie";"Styl życia ""Technofob""";
55;"""Wyrażam tym siebie""";Nastolatek może przefarbować włosy i zacząć ubierać się na czarno;;Nastolatek ma cechę dziecinny;
56;"""Zmarnowałeś mi najlepsze lata""";Rodzic jest złośliwy lub podły dla dziecka przez turę;Rodzic ma cechę Nie cierpi dzieci;Rodzic jest rodzinny, ma aspirację rodzinną lub ma cechę dobry;
57;"""To ja poradzę sobie sam""";Nastolatek ucieka z domu na turę (można go wysłać do rodziny nie wprowadzonej na przykład);Zła relacja między nastolatkiem, a rodzicem, słabe oceny w szkole;Przeciwne do tego po lewej;
58;To tylko taki soczek;Sim jest uzależniony! Codziennie chodzi do baru by kupić sobie drinka przez turę, potem 50% że wyjdzie z uzależnienia;Trudna sytuacja w rodzinie, ciężka praca;;
59;Niczym Bella Ćwir;Sim jest porwany przez kosmitów i nie wiadomo co się z nim stało, czy się kiedyś odnajdzie? (Przenieś tego sima do nie wprowadzonych i nie granych);;;
60;"""Oni chcą mnie zabić""";Co oni mówią za moimi plecami? Na pewno coś kombinują już ja to wiem. Sim kupuje daną ilość pluskw i wrzuca każdemu kogo napotka;"Cecha paranoik,szalony  – kup 50 pluskw; Inni 10";Cecha kulturalny, samotnik;
61;Występ publiczny;Sim postanawia pokazać swój talent światu i występuje publicznie (dowolny talent, który przyciąga widownie najlepiej w jakimś klubie, ale generalnie poza domem);Cecha zadufany w sobie, aspiracje artysyczno-sceniczne, cechy artysyczne;cecha paranoik, brak jakiegokolwiek talentu;
62;Wystawne przyjęcie;Urządź wystawne przyjęcie i zaproś swoich bogatych przyjaciół;Sim jest bogaty, sim ma cechę kulturalny lub snob, aspiracja z przyjęciami;cecha samotnik, mało pieniędzy;
63;Spotkanie klubowe;Zaproś klub lub utwórz jeśli go nie miałeś, zawierający wszystkich twoich przyjaciół;Cecha towarzyski, klubowicz lub kumpel;brak przyjaciół, cecha samotnik;
64;Zdrada;Sim zdradza swojego stałego partnera, byle tylko się nie dowiedział;"Cecha unika zobowiązań, małżeństwo, zły; styl życia głodny miłości";Cecha rodzinny, nieprzystępny;
65;W samotności;Sim nie rozmawia z nikim przez cały dzień;Cecha samotnik,;Cecha rodzinny, towarzyski, kumpel;
66;Randka na basenie;Niektórzy może lubią widzieć prawie WSZYSTKO;Cecha zazdrosny, romantyk;Cecha nieprzystępny;
67;Dzień dobroczynności;Sim (może z rodziną) idzie na akcję charytatywną;Cecha dobry, rodzinny;Cecha zły, wredny;
68;Ciąża prawie dobrze zaplanowana;Sim zachodzi w ciążę ze stałym partnerem;Cecha rodzinny;Cecha nie cierpi dzieci, pełna rodzina;
69;Ciąża niby planowana;Sim zachodzi w ciążę z przypadkową osobą lub osobą w niestałym związku (w sumie nie jest to ważne czy gracie kobietą czy facetem, bo to że facet kogoś zapłodni też się będzie liczyć);Cecha unika zobowiązań,;Cecha nie cierpi dzieci, pełna rodzina;
70;MORDERSTWO;Sim morduje innego sima;Cecha zły, zła relacja z kimś;Możesz to pominąć jak nie chcesz;
71;Wyjście na piwo;Prawdziwi kumple chcą wyjść na piwo do baru i pooglądać tam mecz ( ze studiami chyba w ogóle można iść na mecz);"Cecha kumpel. Aktywny; Przyjaciele";brak przyjaciół, cecha samotnik;
72;Sałatka jarzynowo-owocowa;Sim je przez cały dzień tylko warzywa i owoce;"Cecha wegetarianin, styl życia ""Fan zdrowego jedzenia""; Wysoki poziom (5+) ogrodnictwa";"Cecha freeganin, styl życia ""Fan śmieciowego żarcia""";
73;Fachowa pomoc;Zatrudnij pomoc w sprzątaniu, jeśli jej nie masz, jeśli możesz zatrudnij lokaja;Cecha wrażliwy,snob Duży dom, wielu simów;Cecha niechlujny, Mały dom, mało simów, już jest gosposia lub lokaj;
74;Miłe robaczki;Kup fermę robaków;Cecha adept recyklingu,;Cecha wrażliwy;
75;Miłe dla oka;Wydaj wszystkie pieniądze na dekoracje, których nie możesz sprzedać dopóki sim który to kupił nie umrze (lub się wyprowadzi - wtedy zabiera ze sobą te rzeczy);"Cecha snob, materialista, miłośnik sztuki; aspiracje bogactwa";Cecha freeganin, adept recyklingu;
76;I tak będę brudny;Sim nie myje się przez turę;Cecha niechlujny, samotnik, freeganin, leniwy;Cecha kulturalny, schludny, wrażliwy;
77;Nie mogę na to patrzeć;Sim sprząta w okolicy (nie tylko w swoim domu) może spędzić na tym cały dzień;Cecha schludny, miłośnik natury, fanatyk ekologii;Cecha leniwy, niechlujny, wrażliwy;
78;Sąsiad zawsze ma lepiej;Idź do sąsiada, zobacz jaką ma najdroższą rzecz w domu i kup sobie to samo;"Cecha materialista, złośliwy, snob;Aspiracja: Pan/Pani na włościach";"Cecha towarzyski, kleptoman, dobry; brak pieniędzy";
79;Żywa kolekcja;Zacznij kolekcję żab, ryb lub robaków;Cecha uwielbia naturę, aspiracje kolekcjonerskie;Cecha wrażliwy, snob;
80;Maraton filmowy;Załóż klub lub zaproś przyjaciół na maraton filmów lub oglądania telewizji, jeśli masz ochotę zrób popcorn;Cecha leniwy, klubowicz, towarzyski lub kumpel;"Cecha samotnik; styl życia ""Technofob""";
81;"""Ja to tylko pożyczam""";Idź do sąsiada i ukradnij jakąś rzecz;Cecha kleptoman, wysoki poziom złośliwości;Nie wiem czy nie-kleptomaniacy mogą coś ukraść;
82;Dla przyszłych pokoleń;Sim głosuje na ekologiczną zmianę;Cecha fanatyk ekologii, uwielbia naturę;Cecha zapaleniec, Styl: Guru Techniki;
83;Uczta;Sim urządza przyjęcie na którym podaje 10 własnych potraw;"Cecha żarłok, smakosz, wysoki poziom gotowania; Aspiracja gotowania i przyjęciowa";"Cecha freeganin; Styl: ""Fan śmieciowego żarcia""";
84;Reakcja emocjonalna;Zrób coś związanego z daną emocją;Cecha szalony, dziecinny, niski poziom kontroli emocji;Wysoki poziom kontrolowania emocji, Cecha kulturalny;
85;Pieski, pieski, pieski;Zaprzyjaźnij się z losowym psem, jeśli to przybłęda – przygarnij;Cecha miłośnik psów;;
86;Taniec do białego rana;"Przetańcz z kimś całą noc, albo samemu gdzie chcesz; impreza domowa, klub";"Cecha mistrz parkietu, aktywny, towarzyski; aspiracje towarzyskie";Cecha niezdarny, samotnik;
87;Legenda o syrence;Sim staje się syreną (ale najpierw musi odwiedzić Sulani);Cecha dziecie oceanu, dziecie wysp;Styl: związane z siedzeniem w domu;
88;Kotki, kotki, kotki;Zaprzyjaźnij się z losowym kotem, jeśli to przybłęda – przygarnij;Cecha miłośnik kotów;;
89;Awans!;Sim dostaje nieoczekiwany awans (nie jest istotne czy spełnia wymagania, pewnie są potrzebne kody lub mody);"Cecha ambitny; Styl: Pracoholik";Cecha leniwy;
90;Wyprawa na szczyt;Rozpocznij przygotowania i idź na szczyt góry;Cecha rządny przygód, Styl rządny przygód;"Cecha leniwy; Styl: związany z siedzeniem w domu";
91;Nowe hobby;Wybierz sobie jakieś nowe hobby i je zacznij co najmniej do poziomu 5;;;
92;Ładna okładka;Kup losową książkę umiejętności (odpowiedniego poziomu);;;
93;Przekazywane zainteresowania;Rodzic chce przekazać swoją umiejętność na dziecko;;;
94;Dzień Singla;Przez turę nie wykonuj żadnych interakcji romantycznych (jednym simem);;;
95;Gadka na podryw;Odważnie podejdź do losowej osoby na ulicy i ją poderwij (nie musisz sie związywać z tą osobą wystarczy, że trochę będzie na plus różowy pasek);;;
96;Róże i świece;Zaplanuj randkę w domu, który ozdobisz różami i świecami;;;
97;Pozbijane talerze;Sim kłóci się z simem w domu (lub z rodziną);;;
98;Życie to żart hehehe;Sim przez cały dzień opowiada tylko żarty;;;
99;Zostań w domu;Sim nie wychodzi z domu przez całą turę;;;
100;Partyjka w szachy;Sim chce treningu w szachy, więc ćwiczy po kolei z wszystkimi w rodzinie;;;
101;Prywatna galeria;Powieś własne obrazy w domu (jak nie umiesz malować to nie szkodzi);;;
102;Dobra na wszystko;Sim zamawia 5 pizz;;;
103;Miłe sąsiedztwo;Idź do sąsiada i zapytaj jak minął mu dzień;;;
104;Jogging z rana;Sim przez turę chodzi codziennie na jogging;;;
105;Taki tam cosplay;Ustaw kostium na jeden ze strojów (kostium niedźwiedzia, szopa, chomika, yamachan, star warsowe kostiumy);;;
106;Nie wszystek umrę;Sim buduje lub zleca zbudowanie robota, który będzie się nazywać tak samo jak on i będzie mieć takie same cechy (MCCC można ustawić robota jako bliźniaka sima, albo w skrajnych przypadkach sima tym robotem zastąpić);;;
107;Zerwana nocka;Sim poświęca całą noc na uczenie się jakiejś umiejetności;;;
108;Depresja;Sim popada w depresję, usuwaj wszelkie radosne emocje, 20% szans, że po turze mu nie przejdzie i potrzebuje pomocy;;;
109;Coś mi nie idzie;Natolatek/student zawala szkołę;;;
110;Chcę zostać lekarzem;Dziecko dostaje zestaw lekarski;;;
111;Chcę zostać weterynarzem;Dziecko dostaje zestaw weterynarski;;;
112;Nowa ulubiona muzyka;Wybierz simowi ulubioną muzykę której słucha przez całą turę;;;
113;Obraźony na pluszaka;Dziecko ma złą relację z pluszakiem, może chcieć pluszaka wymienić na nowego;;;
114;Mój dziecinny przyjaciel;Dziecko ma bardzo dobrą relacje z pluszakiem, i nie chce go oddać mimo, że już jest stary, kup nowego pluszaka, a stary odłóż na strych lub włóż do wyposażenia rodziny;;;
115;Nowoczesna zabawka;Małe dziecko dostaje tablet jeśli wcześniej go nie miało, jeśli rodzic ma mały poziom 1-4 wychowawczych dzieciak się uzależnia(ma przez jakiś czas) nie korzystać z innych zabawel i ma płakać bez przerwy gdy tylko mu się zabierze,  5+ umiejętności wszystko przebiega w porządku;;;
